id,recid,sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,charge_severity
3,0,Male,31,25 - 45,Caucasian,0,0,0,0,Unknown
7,1,Male,24,Less than 25,African-American,0,0,1,4,Middle
9,1,Male,24,Less than 25,African-American,0,0,1,4,Middle
10,0,Male,23,Less than 25,African-American,0,1,0,1,Unknown
11,0,Male,43,25 - 45,Other,0,0,0,2,Unknown
13,1,Male,41,25 - 45,Caucasian,0,0,0,14,High
15,0,Male,43,25 - 45,Other,0,0,0,3,Unknown
17,0,Male,43,25 - 45,Other,0,0,0,3,Unknown
19,0,Male,20,Less than 25,Caucasian,0,0,1,0,Unknown
23,0,Female,26,25 - 45,Caucasian,0,0,0,0,Unknown
24,0,Female,26,25 - 45,Caucasian,0,0,0,0,Unknown
25,0,Male,21,Less than 25,Caucasian,0,0,0,1,Middle
26,0,Male,27,25 - 45,Caucasian,0,0,0,0,Unknown
29,0,Male,22,Less than 25,Caucasian,0,0,0,0,Unknown
33,1,Male,31,25 - 45,African-American,0,0,0,7,Middle
35,0,Male,37,25 - 45,Hispanic,0,0,0,0,Unknown
36,0,Male,25,25 - 45,African-American,0,0,0,3,Unknown
37,0,Male,25,25 - 45,African-American,0,0,0,3,Unknown
39,0,Male,31,25 - 45,Caucasian,0,0,0,5,High
41,0,Male,31,25 - 45,Caucasian,0,0,0,5,High
43,1,Male,64,Greater than 45,African-American,0,0,0,13,High
45,0,Male,21,Less than 25,African-American,0,0,0,1,Middle
49,0,Male,21,Less than 25,African-American,0,0,0,1,Middle
50,0,Male,21,Less than 25,African-American,0,0,0,1,Middle
51,0,Male,27,25 - 45,Caucasian,0,0,0,0,Middle
52,0,Female,21,Less than 25,Caucasian,0,0,0,0,Unknown
55,0,Male,24,Less than 25,African-American,0,0,0,2,Middle
59,0,Male,42,25 - 45,Caucasian,0,0,0,1,Unknown
61,0,Male,32,25 - 45,Other,0,0,0,0,Unknown
62,0,Female,54,Greater than 45,African-American,0,0,0,0,Unknown
63,1,Male,44,25 - 45,African-American,0,0,0,8,Unknown
65,1,Male,27,25 - 45,African-American,0,0,0,8,Middle
67,1,Male,27,25 - 45,African-American,0,0,0,8,Middle
69,0,Female,36,25 - 45,Caucasian,0,0,0,3,Unknown
71,1,Male,26,25 - 45,African-American,0,0,1,5,Middle
75,0,Male,33,25 - 45,African-American,0,0,0,0,High
76,1,Male,30,25 - 45,Caucasian,0,0,0,9,High
77,1,Male,30,25 - 45,Caucasian,0,0,0,9,High
78,0,Male,32,25 - 45,African-American,0,0,0,4,Middle
81,0,Male,27,25 - 45,Hispanic,0,0,0,2,Unknown
85,1,Male,38,25 - 45,African-American,0,0,2,5,Unknown
87,1,Male,38,25 - 45,African-American,0,0,2,5,Unknown
88,1,Male,53,Greater than 45,Caucasian,0,0,0,19,Unknown
89,1,Male,53,Greater than 45,Caucasian,0,0,0,19,Unknown
91,1,Male,49,Greater than 45,Other,0,0,0,7,Middle
93,1,Male,26,25 - 45,Caucasian,0,0,2,6,Unknown
95,1,Male,26,25 - 45,Caucasian,0,0,2,6,Unknown
97,0,Female,33,25 - 45,Caucasian,0,0,0,4,High
101,0,Male,24,Less than 25,Caucasian,0,0,0,1,High
102,1,Male,34,25 - 45,African-American,2,1,3,21,Middle
103,1,Male,34,25 - 45,African-American,2,1,3,21,Middle
104,1,Male,34,25 - 45,African-American,2,1,3,21,Middle
107,0,Female,21,Less than 25,African-American,0,0,0,2,Unknown
111,0,Male,51,Greater than 45,African-American,0,0,0,2,Unknown
113,0,Male,29,25 - 45,Caucasian,0,0,0,2,Middle
114,0,Male,29,25 - 45,Caucasian,0,0,0,2,Middle
115,0,Male,25,25 - 45,African-American,0,0,0,0,Unknown
117,1,Female,51,Greater than 45,African-American,0,0,0,7,Unknown
119,1,Male,28,25 - 45,Caucasian,0,0,0,8,Unknown
121,1,Male,36,25 - 45,African-American,0,0,0,22,Unknown
123,0,Male,29,25 - 45,African-American,0,0,0,0,Middle
127,1,Male,35,25 - 45,African-American,1,0,4,13,Middle
128,0,Male,49,Greater than 45,Caucasian,0,0,0,0,Unknown
129,0,Male,34,25 - 45,African-American,0,0,0,4,Middle
130,0,Male,29,25 - 45,African-American,0,0,0,0,Unknown
133,0,Female,28,25 - 45,Other,0,0,0,0,Unknown
137,1,Male,48,Greater than 45,Caucasian,0,0,0,20,Middle
139,0,Male,33,25 - 45,Caucasian,0,0,0,1,Unknown
140,0,Male,33,25 - 45,Caucasian,0,0,0,1,Unknown
